episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
107,1907,0,0,heading_error,82.86,0.277661,0.309224,2.367749,0.108468,0.112478,1.570000,0.043286,0.035335,0.156742,3.82,0.070861,27698.13
108,1,0,0,heading_error,8.43,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.000304,0.000000,0.000304,0.06,0.000000,-592.35
109,1,0,0,heading_error,16.48,1.066077,0.000000,1.066077,0.001993,0.000000,0.001993,0.000104,0.000000,0.000104,0.06,0.000000,-592.06
110,1910,0,0,heading_error,82.70,0.290458,0.327092,2.304427,0.111358,0.113591,0.562486,0.044711,0.035498,0.158753,3.82,0.071083,26956.69
111,1905,0,0,heading_error,82.68,0.281316,0.303415,2.223234,0.110428,0.113480,1.570000,0.043381,0.034938,0.156185,3.82,0.065999,27504.33
112,1,0,0,heading_error,10.41,2.245148,0.000000,2.245148,0.001993,0.000000,0.001993,0.000292,0.000000,0.000292,0.06,0.000000,-592.32
113,1908,0,0,heading_error,82.68,0.305799,0.407216,2.346960,0.114511,0.123646,0.671352,0.044941,0.036561,0.159125,3.82,0.065854,27630.45
114,1905,0,0,heading_error,82.61,0.275301,0.333059,2.426963,0.115082,0.116342,1.570000,0.045297,0.034828,0.157311,3.82,0.065387,28244.07
115,1,0,0,heading_error,15.64,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.000361,0.000000,0.000361,0.06,0.000000,-592.06
116,1,0,0,heading_error,14.51,2.051187,0.000000,2.051187,0.001993,0.000000,0.001993,0.000072,0.000000,0.000072,0.06,0.000000,-592.49
117,1906,0,0,heading_error,82.59,0.283219,0.369379,2.333850,0.114474,0.113273,0.527590,0.044471,0.034795,0.148036,3.82,0.070187,28263.29
118,1905,0,0,heading_error,82.68,0.275358,0.299399,2.354557,0.112437,0.103042,0.525915,0.045001,0.031581,0.138539,3.82,0.065111,28409.83
119,1907,0,0,heading_error,82.77,0.286630,0.307170,2.992676,0.114898,0.102145,0.511193,0.045225,0.031396,0.132855,3.82,0.069876,26701.39
120,1911,0,0,heading_error,82.89,0.311781,0.461682,3.872823,0.124309,0.115027,0.533642,0.045002,0.034760,0.119418,3.82,0.071480,26449.32
121,1912,0,0,heading_error,82.63,0.351373,0.587313,4.007267,0.123223,0.127216,1.570000,0.045210,0.034175,0.140176,3.82,0.072017,26086.82
122,1,0,0,heading_error,9.95,0.959035,0.000000,0.959035,0.001993,0.000000,0.001993,0.000289,0.000000,0.000289,0.06,0.000000,-592.33
123,1908,0,0,heading_error,82.55,0.271093,0.324209,2.404496,0.116574,0.113459,0.548943,0.044258,0.036691,0.143554,3.82,0.072084,27393.80
124,1901,0,0,heading_error,82.55,0.258681,0.297628,2.824552,0.108776,0.107395,0.523624,0.042334,0.034193,0.147022,3.82,0.073991,28483.49
125,1911,0,0,heading_error,82.61,0.326469,0.458238,2.927917,0.126838,0.125757,1.570000,0.044889,0.036409,0.151446,3.82,0.074776,25294.97
126,1,0,0,heading_error,16.32,3.651105,0.000000,3.651105,0.001993,0.000000,0.001993,0.000302,0.000000,0.000302,0.06,0.000000,-592.01
127,1909,0,0,heading_error,82.63,0.349161,0.547161,3.782499,0.127114,0.118819,0.566292,0.045411,0.032645,0.137822,3.82,0.076259,25556.62
128,1913,0,0,heading_error,82.68,0.324580,0.442260,2.654168,0.129191,0.120670,0.543453,0.045915,0.036443,0.141625,3.81,0.077298,25222.09
129,1907,0,0,heading_error,82.65,0.278409,0.337722,2.234089,0.120383,0.122687,1.570000,0.044943,0.038207,0.151994,3.82,0.076749,26795.45
130,1,0,0,heading_error,16.37,0.568285,0.000000,0.568285,0.001993,0.000000,0.001993,0.000222,0.000000,0.000222,0.06,0.000000,-592.02
131,1901,0,0,heading_error,82.59,0.249052,0.288522,2.208841,0.113153,0.116905,1.570000,0.043181,0.037144,0.149627,3.82,0.074386,29021.82
132,1,0,0,heading_error,18.01,4.496497,0.000000,4.496497,0.001993,0.000000,0.001993,0.000280,0.000000,0.000280,0.06,0.000000,-591.92
133,1911,0,0,heading_error,82.57,0.368822,0.687758,4.618750,0.131366,0.137038,1.570000,0.045987,0.037032,0.155600,3.82,0.079425,26123.58
134,1,0,0,heading_error,15.65,4.496497,0.000000,4.496497,0.001993,0.000000,0.001993,0.000265,0.000000,0.000265,0.06,0.000000,-592.08
135,1910,0,0,heading_error,82.57,0.359877,0.680064,4.618406,0.122419,0.133623,1.570000,0.045139,0.034861,0.151501,3.82,0.078839,27438.75
136,1,0,0,heading_error,9.26,0.078750,0.000000,0.078750,0.001993,0.000000,0.001993,0.000322,0.000000,0.000322,0.06,0.000000,-592.33
137,1900,0,0,heading_error,82.65,0.241907,0.282606,2.390744,0.101551,0.105419,0.583907,0.042216,0.033324,0.143541,3.83,0.073590,30522.53
138,1907,0,0,heading_error,82.63,0.260515,0.297926,2.407719,0.115935,0.109468,0.636244,0.046341,0.033692,0.142062,3.82,0.079451,28173.85
139,1904,0,0,heading_error,82.61,0.268188,0.276776,2.361687,0.109710,0.103222,0.569833,0.044793,0.032874,0.154651,3.82,0.085566,27700.30
140,1911,0,0,heading_error,82.69,0.277169,0.317052,2.355792,0.117634,0.110762,0.549067,0.046592,0.035315,0.157376,3.81,0.085565,26925.77
141,1907,0,0,heading_error,82.75,0.277943,0.301330,4.496497,0.112420,0.104316,0.588311,0.045846,0.033002,0.149002,3.82,0.083553,27656.76
