#{"t_start": 1772158297.3285942, "env_id": "None"}
r,l,t
31051.976109,1897,4557.231623
-592.046275,1,4557.286488
29891.822842,1901,4578.727021
29813.263025,1901,4600.341386
29644.78663,1904,4621.742808
32093.140663,1894,4643.026031
31582.733785,1894,4664.42179
29380.86755,1899,4685.925753
-591.923527,1,4685.976194
29098.933579,1899,4707.467954
29728.42859,1898,4728.92868
30083.653097,1897,4750.474365
28952.39127,1902,4771.984159
30948.375218,1898,4793.613082
28548.219542,1904,4815.108302
-591.904598,1,4815.163931
28458.241967,1906,4836.006461
-592.014931,1,4836.028929
-592.019501,1,4836.053452
-592.468643,1,4836.073908
29039.865917,1904,4857.170738
28671.546024,1900,4878.456325
31606.510476,1897,4899.757328
30350.803175,1897,4921.040888
27782.606937,1906,4942.494408
28292.631488,1902,4963.798275
28202.36808,1902,4985.336401
26791.864296,1903,5007.052577
27816.917259,1901,5028.567489
29335.757081,1900,5050.052238
27977.644425,1902,5071.474979
28135.303331,1903,5092.963186
27311.031426,1911,5114.593375
27434.173448,1907,5136.260399
28992.768509,1899,5157.716413
28220.899919,1901,5178.944038
31178.329673,1898,5199.963219
29622.868204,1911,5221.242413
-592.329342,1,5221.273311
29241.090206,1908,5242.552715
29408.040776,1902,5263.91241
31768.589325,1898,5285.283646
-592.168846,1,5285.307879
-592.288879,1,5285.332551
29102.157586,1902,5306.762226
29368.788065,1909,5328.372009
30884.101315,1898,5349.900804
31640.470371,1896,5371.334058
27546.815352,1905,5392.790729
-592.360584,1,5392.815971
27919.360848,1901,5414.332832
29233.105816,1898,5435.868281
-592.343886,1,5435.893049
28467.921442,1899,5457.815681
28616.926781,1900,5479.281585
28808.614767,1899,5500.351135
31170.983042,1897,5521.154336
31159.573874,1897,5541.945179
28817.111156,1914,5563.202552
30338.934352,1900,5584.340715
31617.501754,1897,5605.64366
31100.618199,1898,5626.985348
31081.74323,1897,5648.438937
30678.725658,1898,5670.011528
-592.321636,1,5670.042616
31091.578188,1898,5691.523127
29274.830786,1899,5713.961357
29322.602266,1899,5736.507754
30163.091741,1898,5759.295566
29617.29289,1899,5780.878694
30835.888085,1896,5802.493341
30952.468047,1897,5823.949791
31550.07445,1898,5845.033672
30256.642817,1897,5865.952541
32247.412662,1896,5886.91187
30660.764175,1897,5907.974999
30189.394828,1897,5929.345052
30402.550852,1898,5950.727252
31564.104107,1896,5972.135957
-592.286948,1,5972.168632
