episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
117,203,0,0,tilt_error,3.75,0.681292,0.693947,2.644443,0.261943,0.248602,0.919374,0.086759,0.070673,0.363793,3.53,0.074743,170.74
118,131,0,0,tilt_error,3.40,0.890581,0.542834,2.071937,0.309645,0.245408,0.802851,0.104643,0.074721,0.351550,3.36,0.088792,-1272.84
119,741,0,0,tilt_error,52.79,0.301542,0.398238,2.294815,0.114059,0.138722,0.591584,0.032714,0.049949,0.365748,3.79,0.057221,10129.92
120,59,0,0,tilt_error,-0.05,1.639642,0.794670,2.367359,0.281688,0.311148,1.035113,0.143420,0.098497,0.370459,2.73,0.122926,-1116.70
121,198,0,0,tilt_error,2.91,0.448282,0.279164,1.059046,0.186986,0.147462,0.571104,0.080296,0.068533,0.370127,3.53,0.084972,903.50
122,89,0,0,tilt_error,3.93,0.799764,0.293475,1.201576,0.233456,0.244683,1.570000,0.108445,0.089496,0.369587,3.16,0.093050,-915.78
123,1,0,0,heading_error,17.67,0.668797,0.000000,0.668797,0.001993,0.000000,0.001993,0.001721,0.000000,0.001721,0.06,0.000000,-585.70
124,164,0,0,tilt_error,2.69,0.409671,0.228327,0.778663,0.168162,0.163464,1.570000,0.079908,0.072674,0.355106,3.46,0.083045,806.33
125,1,0,0,heading_error,13.17,1.784447,0.000000,1.784447,0.001993,0.000000,0.001993,0.002136,0.000000,0.002136,0.07,0.000000,-587.87
126,86,0,0,tilt_error,7.13,1.079041,0.640845,2.567147,0.240253,0.210823,0.601472,0.100421,0.084704,0.350094,3.16,0.080972,-1008.48
127,53,0,0,tilt_error,-3.96,2.127231,0.639342,2.659826,0.219784,0.283267,1.570000,0.132708,0.098517,0.354715,2.71,0.112956,-1263.67
128,1,0,0,heading_error,9.17,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.002138,0.000000,0.002138,0.07,0.000000,-591.47
