#{"t_start": 1772260924.8721814, "env_id": "None"}
r,l,t
16356.516602,1204,5078.563776
17801.514671,1206,5091.153016
15677.868872,1201,5103.836888
-580.974732,1,5103.867771
15702.207648,1206,5116.014439
16820.781585,1204,5128.3464
18120.105025,1200,5140.568864
16981.115179,1204,5152.715785
-581.286955,1,5152.739436
16495.776755,1204,5165.143883
16848.975816,1202,5177.536306
18166.711348,1198,5189.906724
17577.555325,1200,5202.215801
16606.684366,1204,5214.704423
-581.256243,1,5214.736571
17381.893544,1200,5227.227489
-581.364917,1,5227.248374
-552.038823,14,5227.408529
-591.963989,1,5227.434452
18885.045547,1198,5239.925571
18061.292198,1200,5251.89874
-581.194997,1,5251.921804
19226.17517,1201,5264.010368
-581.531028,1,5264.032408
-592.128234,1,5264.056641
19052.218066,1199,5276.226441
18420.709563,1203,5288.511764
17832.055847,1199,5300.891711
-581.087876,1,5300.920338
17667.724968,1199,5313.197296
18736.827046,1200,5325.520447
16057.67213,1202,5337.967795
17275.877073,1283,5351.243746
-583.759923,1,5351.266728
-592.467504,1,5351.293736
-765.285033,28,5351.607179
17896.674965,1210,5364.22161
-581.479886,1,5364.244622
16898.919924,1213,5376.72939
15727.436821,1318,5389.860978
16233.603662,1290,5402.856385
-763.40441,28,5403.153487
-587.983007,1,5403.17325
-764.718998,28,5403.480755
19536.071217,1278,5416.625332
-583.710578,1,5416.65585
-765.260165,28,5416.95283
19598.028165,1204,5429.508694
18292.394977,1201,5441.838507
-581.405435,1,5441.867523
18520.210746,1206,5454.306503
15277.362683,1204,5466.804253
16490.833534,1208,5479.321743
-763.406258,28,5479.624886
-778.340296,29,5479.932734
18813.340964,1200,5492.436424
18770.156296,1205,5505.059054
18019.047223,1206,5517.366457
16883.522049,1208,5529.59653
16291.631387,1200,5541.798548
16376.215657,1202,5554.131658
18361.431018,1202,5566.536304
18497.450679,1203,5578.867494
17036.722869,1201,5591.220843
-581.107018,1,5591.24761
17434.560554,1202,5603.660038
16726.124958,1208,5616.17157
18042.350984,1208,5628.814846
17658.352312,1209,5641.406332
18224.503464,1204,5653.788769
17066.672026,1207,5665.952668
18001.582147,1207,5678.193326
16429.094141,1210,5690.59881
-581.500675,1,5690.621193
16559.360456,1207,5702.950791
17994.202512,1198,5715.225569
16853.754588,1203,5727.793086
16455.83413,1206,5740.2798
16530.325159,1206,5752.78663
18596.521288,1200,5765.337303
18001.195634,1202,5777.885378
17310.097283,1204,5790.230128
16901.03739,1202,5802.283766
18821.789459,1196,5814.296386
16922.798268,1199,5826.589152
17000.793396,1198,5838.819707
16723.643719,1197,5851.022032
16413.394346,1198,5863.293142
17785.546611,1196,5875.610311
17670.809003,1197,5888.066607
-580.935394,1,5888.092387
16578.470426,1200,5900.752241
-581.026388,1,5900.780842
16651.000437,1198,5913.254814
-581.203503,1,5913.277819
16414.801258,1203,5925.767075
16765.047968,1198,5937.94819
17115.366984,1201,5950.125745
18380.217923,1197,5962.412411
17061.576492,1198,5974.629809
17306.904557,1199,5986.93991
16614.330347,1199,5999.343393
17993.583358,1197,6011.706861
17108.030813,1198,6024.230331
-580.968158,1,6024.259621
16427.193628,1200,6036.785908
16265.73525,1201,6049.189266
-581.272848,1,6049.220484
16788.653295,1198,6061.643346
-594.567049,17,6061.826752
16098.885474,1202,6073.970903
16768.80156,1202,6086.316886
19290.515408,1198,6098.668778
16786.849962,1206,6111.040445
18503.554575,1200,6123.325526
19293.451834,1202,6135.653331
17070.130065,1198,6147.966923
15989.237774,1209,6160.510756
17111.845345,1200,6172.954879
17685.700642,1199,6185.449632
17803.051705,1204,6198.0129
16520.249247,1204,6210.205241
16910.367186,1205,6222.570862
-942.374132,48,6223.082813
17925.899608,1198,6235.206375
16430.129451,1202,6247.430152
17189.218478,1199,6259.679599
17286.576431,1201,6272.049954
18249.719629,1197,6284.408287
16876.882915,1197,6296.931322
15995.203616,1204,6309.461205
17399.629736,1200,6322.149192
16029.754358,1207,6334.896049
18578.42601,1197,6347.039954
16892.443838,1204,6359.342867
17358.309795,1197,6371.519377
-581.123907,1,6371.552282
-592.504358,1,6371.571696
-592.544498,1,6371.595975
-592.366802,1,6371.617079
17323.07191,1202,6384.065369
-581.233579,1,6384.094331
16762.852709,1199,6396.38849
17690.631408,1198,6408.722946
17417.406357,1198,6421.187514
18166.995471,1198,6433.576127
17700.675505,1198,6446.029122
-581.15217,1,6446.058745
17240.594061,1198,6458.410907
16474.562237,1203,6470.914327
17043.933638,1199,6483.137121
19125.274093,1196,6495.326791
16989.431113,1201,6507.550203
16645.401017,1204,6519.814245
17007.19662,1200,6532.096516
18405.835614,1199,6544.419151
17187.782994,1200,6556.928019
17190.27014,1199,6569.158215
-581.046977,1,6569.188813
18974.272733,1198,6581.595487
17445.77626,1199,6593.956616
18206.945462,1199,6606.41667
17717.14695,1204,6618.808072
16964.840574,1202,6630.980012
19440.238596,1198,6642.98669
18424.629033,1203,6655.161289
