episode,new_episode,steps,completed,completion_index,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
109,71,181,0,0,0,tilt_error,6.52,0.403815,0.360502,2.135208,0.170862,0.186973,0.943244,0.077992,0.077105,0.364207,3.48,0.072614,1286.86
110,72,106,0,0,0,tilt_error,6.6,0.652041,0.443342,2.142069,0.230599,0.258682,1.57,0.102489,0.087054,0.349737,3.23,0.074808,-353.59
112,73,710,0,0,0,tilt_error,47.63,0.319338,0.492464,2.23992,0.10469,0.133976,0.609522,0.031576,0.049477,0.352613,3.8,0.054699,9882.47
114,74,310,0,0,0,tilt_error,1.96,0.241953,0.182523,1.42208,0.112881,0.100276,0.421131,0.054512,0.060161,0.356295,3.66,0.071042,4362.16
116,75,136,0,0,0,tilt_error,5.31,0.70361,0.441191,1.529382,0.205595,0.17172,0.553102,0.099125,0.079498,0.354196,3.36,0.071193,-648.22
117,76,203,0,0,0,tilt_error,3.75,0.681292,0.693947,2.644443,0.261943,0.248602,0.919374,0.086759,0.070673,0.363793,3.53,0.074743,170.74
118,77,131,0,0,0,tilt_error,3.4,0.890581,0.542834,2.071937,0.309645,0.245408,0.802851,0.104643,0.074721,0.35155,3.36,0.088792,-1272.84
119,78,741,0,0,0,tilt_error,52.79,0.301542,0.398238,2.294815,0.114059,0.138722,0.591584,0.032714,0.049949,0.365748,3.79,0.057221,10129.92
121,79,198,0,0,0,tilt_error,2.91,0.448282,0.279164,1.059046,0.186986,0.147462,0.571104,0.080296,0.068533,0.370127,3.53,0.084972,903.5
124,80,164,0,0,0,tilt_error,2.69,0.409671,0.228327,0.778663,0.168162,0.163464,1.57,0.079908,0.072674,0.355106,3.46,0.083045,806.33
133,81,164,0,0,0,tilt_error,3.16,0.523538,0.286522,1.230681,0.18633,0.144004,0.511254,0.084406,0.071097,0.352963,3.47,0.076241,254.21
134,82,130,0,0,0,tilt_error,8.03,1.020435,0.699109,2.236426,0.245765,0.208033,0.671943,0.098898,0.079019,0.354331,3.37,0.087204,-1322.2
135,83,340,0,0,0,tilt_error,2.6,0.290641,0.269601,3.546576,0.136456,0.107256,0.490397,0.059245,0.056404,0.357213,3.67,0.071784,4186.97
137,84,129,0,0,0,tilt_error,3.09,0.634983,0.252178,0.919227,0.236762,0.212095,1.57,0.096716,0.076539,0.36421,3.35,0.084082,-465.6
139,85,165,0,0,0,tilt_error,3.1,0.444149,0.260678,0.800049,0.170366,0.125107,0.434383,0.082095,0.071594,0.349796,3.46,0.081118,722.88
140,86,745,0,0,0,tilt_error,53.38,0.315926,0.399598,2.159321,0.119171,0.143382,0.629281,0.033371,0.049287,0.349854,3.79,0.052678,9745.38
141,87,110,0,0,0,tilt_error,3.73,0.897688,0.45733,1.698948,0.253263,0.206875,0.621723,0.108779,0.082887,0.357271,3.25,0.084209,-1218.44
143,88,165,0,0,0,tilt_error,3.72,0.464909,0.30603,1.480527,0.164706,0.12013,0.414949,0.079443,0.071446,0.351606,3.47,0.069212,620.09
145,89,740,0,0,0,tilt_error,52.6,0.289384,0.397193,2.278191,0.120115,0.138119,0.588885,0.033703,0.049795,0.366588,3.79,0.054855,9924.83
146,90,323,0,0,0,tilt_error,4.31,0.616495,0.720834,3.290409,0.236427,0.24333,1.02666,0.073591,0.060908,0.353208,3.64,0.077095,1105.55
147,91,132,0,0,0,tilt_error,2.19,0.512761,0.298596,2.688419,0.183835,0.13904,0.445848,0.088987,0.077319,0.354754,3.38,0.082928,152.48
148,92,155,0,0,0,tilt_error,3.6,1.273911,0.878364,2.776551,0.318215,0.216318,0.625961,0.096541,0.075735,0.372662,3.43,0.085376,-1773.37
149,93,170,0,0,0,tilt_error,4.48,0.636644,0.363588,1.119149,0.21414,0.186016,1.57,0.08435,0.071304,0.359422,3.48,0.088655,-468.74
151,94,122,0,0,0,tilt_error,4.05,1.838527,1.234193,4.496497,0.329821,0.258723,0.706902,0.094993,0.081771,0.359032,3.35,0.075199,-1850.47
153,95,139,0,0,0,tilt_error,2.65,0.669014,0.318135,1.078314,0.20285,0.165845,0.490484,0.086188,0.075082,0.351352,3.41,0.088611,-730.62
154,96,141,0,0,0,tilt_error,3.5,0.770292,0.323862,1.254288,0.245837,0.195663,0.627953,0.093086,0.077396,0.369018,3.41,0.09,-1154.45
155,97,137,0,0,0,tilt_error,2.95,0.644229,0.282549,2.01075,0.209666,0.167235,0.526882,0.088917,0.077326,0.366109,3.4,0.089901,-523.68
156,98,153,0,0,0,tilt_error,3.42,1.030561,0.65073,2.06917,0.278803,0.219527,1.57,0.091061,0.075887,0.375206,3.44,0.074622,-1305.0
158,99,166,0,0,0,tilt_error,3.7,0.487303,0.313024,1.289784,0.171755,0.119884,0.417667,0.080462,0.073583,0.373824,3.48,0.09132,524.42
159,100,101,0,0,0,tilt_error,4.34,0.988441,0.386536,1.360544,0.23317,0.209033,0.546732,0.099914,0.086838,0.357689,3.26,0.08762,-1473.92
160,101,183,0,0,0,tilt_error,13.33,1.016125,1.087,3.574629,0.282926,0.265081,0.929163,0.090824,0.075308,0.36538,3.48,0.079455,-553.18
161,102,107,0,0,0,tilt_error,4.59,1.207174,0.558181,1.858371,0.274722,0.266152,1.57,0.099672,0.083895,0.350199,3.28,0.074426,-1659.73
165,103,101,0,0,0,tilt_error,5.13,1.213721,0.479033,1.826962,0.270067,0.244751,0.633771,0.101984,0.086282,0.357608,3.26,0.093213,-1727.9
168,104,153,0,0,0,heading_error,7.91,0.598847,0.522297,3.637221,0.228053,0.221264,1.020327,0.090816,0.073393,0.304331,3.4,0.072852,78.55
171,105,181,0,0,0,tilt_error,11.81,0.937652,0.968113,3.198468,0.273815,0.262494,1.57,0.089832,0.074028,0.353736,3.49,0.080892,-469.98
176,106,670,0,0,0,tilt_error,40.45,0.311831,0.404905,2.260513,0.12618,0.142465,0.493592,0.037746,0.056847,0.373795,3.78,0.055895,8433.27
177,107,732,0,0,0,tilt_error,51.14,0.344676,0.396801,4.381722,0.137636,0.128888,0.556563,0.040315,0.048952,0.35037,3.79,0.063533,8137.39
183,108,234,0,0,0,tilt_error,4.18,0.442588,0.331619,1.073262,0.169567,0.112398,0.394236,0.075399,0.064598,0.36651,3.56,0.072426,874.18
184,109,724,0,0,0,tilt_error,49.17,0.308948,0.385617,2.206664,0.134009,0.140659,0.917954,0.040615,0.05247,0.366922,3.78,0.06087,9594.25
185,110,101,0,0,0,tilt_error,4.79,1.038178,0.398877,1.413325,0.242705,0.226281,0.597761,0.102989,0.087491,0.35782,3.24,0.089813,-1573.55
186,111,238,0,0,0,tilt_error,4.35,0.690007,0.552004,3.076218,0.246254,0.202448,0.81825,0.084513,0.064714,0.350616,3.56,0.079472,-606.46
190,112,707,0,0,0,tilt_error,47.26,0.309107,0.46106,2.198518,0.109768,0.138271,0.584482,0.031495,0.050065,0.351624,3.79,0.059768,10385.54
